m/z,intensity
931.984252929688,205534
932.127197265625,171778
932.269989013672,116728
932.412475585938,79510
932.554931640625,31626
932.696655273438,17880
932.841918945312,8046
932.981750488281,2982
934.12353515625,2716
934.265197753906,2796
934.40966796875,2718
935.837951660156,5638
935.980499267578,5716
936.123962402344,8632
936.268615722656,2994
960.552673339844,2502
960.694030761719,12786
960.838317871094,19124
960.980346679688,18292
961.125366210938,15862
961.267333984375,5226
961.41015625,2720
962.8369140625,16344
962.980529785156,81438
963.122497558594,124302
963.266479492188,120710
963.409423828125,106070
963.552459716797,78152
963.695556640625,45568
963.838836669922,16586
963.982177734375,2630
966.128112792969,6378
966.268798828125,36620
966.412506103516,60450
966.555114746094,68972
966.6982421875,64788
966.841064453125,44408
966.984130859375,24496
967.126953125,9586
967.270446777344,2892
972.128662109375,5794
972.274047851562,12510
972.4150390625,26190
972.557861328125,33748
972.703033447266,23446
972.846618652344,10412
976.69970703125,114170
976.842895507812,319058
976.985809326172,503830
977.129058837891,557750
977.272552490234,542886
977.416442871094,480984
977.560028076172,414532
977.703674316406,302782
977.84716796875,223858
977.990173339844,137068
978.132751464844,71418
978.275360107422,40952
978.4189453125,24168
978.848510742188,5336
978.949981689453,5356
978.996215820312,10528
979.062377929688,5598
979.129943847656,32058
979.178863525391,13990
979.218078613281,3382
979.272583007812,178110
979.337951660156,15056
979.415771484375,458110
979.484985351562,5100
979.557983398438,4837004
979.701171875,11723318
979.844390869141,17295628
979.987487792969,18790268
980.130554199219,16322814
980.273803710938,11845476
980.416778564453,7492016
980.559814453125,4395656
980.628112792969,3678
980.702941894531,2277226
980.773254394531,20446
980.845825195312,1101414
980.906311035156,81644
980.988586425781,563716
981.059204101562,115778
981.131774902344,270276
981.206176757812,71728
981.274230957031,140888
981.340576171875,65058
981.361755371094,8290
981.416320800781,110920
981.488311767578,51928
981.558410644531,93678
981.616821289062,79792
981.700836181641,84316
981.771057128906,39236
981.796783447266,10838
981.845092773438,116566
981.917785644531,20674
981.990112304688,197718
982.057952880859,10008
982.129638671875,169100
982.202209472656,11804
982.273498535156,194788
982.351135253906,3814
982.416748046875,203270
982.559417724609,182566
982.634643554688,3186
982.702209472656,154412
982.844604492188,128202
982.986480712891,116372
983.129699707031,88594
983.270935058594,69456
983.414489746094,44242
983.55810546875,23754
983.699279785156,10402
984.416137695312,5424
984.560852050781,2764
984.700561523438,3350
984.842407226562,2666
985.170288085938,101756
985.414611816406,18842
985.557708740234,38748
985.672973632812,115160
985.843627929688,36738
985.986328125,27708
986.131378173828,18678
986.17236328125,38900
986.673309326172,5454
987.27587890625,11062
987.41796875,20302
987.560638427734,33500
987.703002929688,27222
987.845703125,25080
987.989868164062,25760
988.130798339844,29096
988.274627685547,11118
988.415313720703,5736
989.566467285156,8960
989.709106445312,24756
989.852264404297,22996
989.994567871094,18434
990.136840820312,15598
990.277526855469,6098
990.419067382812,5230
993.70361328125,8526
993.848937988281,20490
993.991729736328,22190
994.134582519531,17452
994.278259277344,9444
1001.57614135742,5322
1001.71899414062,8088
1001.86242675781,8516
1002.00115966797,2538
1002.56323242188,3390
1002.70989990234,16844
1002.85311889648,15950
1002.99578857422,12792
1003.13897705078,9060
1003.27905273438,2516
1008.4111328125,2682
1010.84030151367,6220
1010.98495483398,6014
1011.12725830078,9024
1011.27029418945,5232
1027.27978515625,5338
1027.42358398438,2996
1080.64471435547,8360
1080.81262207031,14354
1080.97985839844,12218
1081.14599609375,6806
1081.31292724609,5812
1086.98132324219,17334
1087.14916992188,72614
1087.31652832031,105260
1087.482421875,116070
1087.64965820312,86232
1087.81689453125,59928
1087.98315429688,34250
1088.14758300781,9564
1088.318359375,2950
1121.14654541016,5886
1121.31414794922,5346
1123.47863769531,5800
1123.64526367188,30570
1123.8125,57096
1123.97821044922,62548
1124.14514160156,51744
1124.31298828125,28504
1124.48022460938,12416
1124.64880371094,2518
1127.31359863281,2532
1127.48181152344,8612
1127.6494140625,27650
1127.81604003906,29346
1127.98205566406,26892
1128.14978027344,16002
1128.31561279297,5382
1134.48681640625,5542
1134.65246582031,11800
1134.8212890625,9936
1134.98840332031,6884
1139.65124511719,58994
1139.81799316406,169334
1139.98510742188,270480
1140.15197753906,307238
1140.31945800781,290834
1140.48693847656,267746
1140.65496826172,225714
1140.82153320312,165658
1140.9892578125,106336
1141.15692138672,67624
1141.32397460938,40512
1141.490234375,15124
1142.65209960938,96048
1142.71301269531,2560
1142.81939697266,241864
1142.90661621094,3428
1142.98559570312,2582462
1143.07641601562,3004
1143.15295410156,6398830
1143.31994628906,9232742
1143.48693847656,10101754
1143.65393066406,8716708
1143.74731445312,3192
1143.82067871094,6428074
1143.98748779297,4083894
1144.15472412109,2357870
1144.25280761719,2522
1144.32165527344,1215708
1144.43017578125,10966
1144.48840332031,592062
1144.59429931641,33208
1144.65472412109,279578
1144.73773193359,10806
1144.76770019531,7206
1144.82141113281,129762
1144.91772460938,34734
1144.98577880859,74640
1145.06414794922,12676
1145.09521484375,4180
1145.15234375,49162
1145.19122314453,172328
1145.23767089844,28408
1145.27990722656,3414
1145.31970214844,41612
1145.40234375,9526
1145.43737792969,12640
1145.48718261719,38378
1145.55395507812,4202
1145.65405273438,50624
1145.69207763672,164640
1145.74658203125,3364
1145.81945800781,65794
1145.90087890625,2620
1145.98828125,84860
1146.15411376953,105452
1146.19409179688,93016
1146.25207519531,2574
1146.32055664062,113334
1146.48748779297,99416
1146.65368652344,86628
1146.69311523438,26496
1146.82019042969,75398
1146.98498535156,65434
1147.15051269531,48610
1147.31707763672,36268
1147.48516845703,24382
1147.64990234375,2534
1149.65905761719,2540
1149.98706054688,5860
1150.15258789062,19192
1150.32055664062,5532
1150.48693847656,2806
1152.15637207031,9444
1152.32458496094,12150
1152.48876953125,13364
1152.65942382812,105650
1152.8271484375,243532
1152.99420166016,381174
1153.16125488281,427192
1153.32849121094,348492
1153.49499511719,259378
1153.66149902344,159460
1153.82794189453,80302
1153.99426269531,41980
1154.1611328125,11142
1154.99731445312,5586
1159.65979003906,8066
1159.82531738281,2886
1159.99255371094,2530
1160.162109375,3002
1168.50732421875,30682
1168.67303466797,68006
1168.84112548828,79562
1169.00738525391,60590
1169.17443847656,51226
1169.34301757812,8950
1169.9951171875,2672
1174.21655273438,27874
1174.71850585938,27630
1175.21838378906,9098
1177.17700195312,54388
1177.67816162109,48564
1178.17761230469,21150
1185.17407226562,43856
1185.67602539062,37064
1186.17810058594,16878
1247.34887695312,8230
1247.44006347656,9496
1247.53076171875,9746
1247.62109375,9360
1247.71258544922,5936
1296.97583007812,2938
1297.17565917969,10452
1297.37512207031,9690
1297.57446289062,5610
